question,market_slug,status,end_date,description,outcomes,tags
[Single Market] Will Ron DeSantis win the U.S. 2024 Republican presidential nomination?,will-ron-desantis-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Ronald Dion de Santis wins the 2024 nomination of the Republica...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Donald J. Trump win the U.S. 2024 Republican presidential nomination?,will-donald-j-trump-win-the-us-2024-republican-presidential-nomination-1,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Donald J. Trump wins the 2024 nomination of the Republican Part...,"Yes: 1, No: 0","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Nikki Haley win the U.S. 2024 Republican presidential nomination?,will-nikki-haley-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Nimrata Nikki Haley wins the 2024 nomination of the Republican ...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Joe Biden win the U.S. 2024 Democratic presidential nomination?,will-joe-biden-win-the-us-2024-democratic-presidential-nomination,Active,2024-08-10 00:00:00,This market will resolve to “Yes” if Joe Biden wins the 2024 nomination of the Democratic Party for ...,"Yes: 0.25, No: 0.75","Politics, Joe Biden, 2024 presidential election, democratic party, us elections, gavin newsom, u.s. presidential election, 2024 election, u.s. politics, presidential nomination, hillary clinton, kamala harris, democrats, u.s. 2024, democratic presidential nomination, dean phillips, u.s. presidential election 2024, robert f. kennedy jr., u.s. election, pete buttigieg, elections 2024, All"
[Single Market] Will Kamala Harris win the U.S. 2024 Democratic presidential nomination?,will-kamala-harris-win-the-us-2024-democratic-presidential-nomination,Active,2024-08-10 00:00:00,This market will resolve to “Yes” if Kamala Harris wins the 2024 nomination of the Democratic Party ...,"Yes: 0.545, No: 0.455","Politics, 2024 presidential election, democratic party, us elections, gavin newsom, u.s. presidential election, 2024 election, u.s. politics, presidential nomination, hillary clinton, kamala harris, democrats, u.s. 2024, democratic presidential nomination, dean phillips, u.s. presidential election 2024, robert f. kennedy jr., u.s. election, pete buttigieg, elections 2024, All"
[Single Market] Will Pete Buttigieg win the U.S. 2024 Democratic presidential nomination?,will-pete-buttigieg-win-the-us-2024-democratic-presidential-nomination,Active,2024-08-10 00:00:00,This market will resolve to “Yes” if Pete Buttigieg wins the 2024 nomination of the Democratic Party...,"Yes: 0.0305, No: 0.9695","Politics, 2024 presidential election, democratic party, us elections, gavin newsom, u.s. presidential election, 2024 election, u.s. politics, presidential nomination, hillary clinton, kamala harris, democrats, u.s. 2024, democratic presidential nomination, dean phillips, u.s. presidential election 2024, robert f. kennedy jr., u.s. election, pete buttigieg, elections 2024, All"
[Single Market] Will Hillary Clinton win the U.S. 2024 Democratic presidential nomination?,will-hillary-clinton-win-the-us-2024-democratic-presidential-nomination,Active,2024-08-10 00:00:00,This market will resolve to “Yes” if Hillary Clinton wins the 2024 nomination of the Democratic Part...,"Yes: 0.0345, No: 0.9655","Politics, 2024 presidential election, democratic party, us elections, gavin newsom, u.s. presidential election, 2024 election, u.s. politics, presidential nomination, hillary clinton, kamala harris, democrats, u.s. 2024, democratic presidential nomination, dean phillips, u.s. presidential election 2024, robert f. kennedy jr., u.s. election, pete buttigieg, elections 2024, All"
Which party wins 2024 US Presidential Election?,which-party-will-win-the-2024-united-states-presidential-election,Active,2024-11-08 00:00:00,"The 2024 United States presidential election will be held on Tuesday, November 5, 2024.

This market...","Democratic: 0.335, Republican: 0.665","Politics, US Election, 2024 presidential election, Elections, united states, All"
[Single Market] Will Tucker Carlson win the U.S. 2024 Republican presidential nomination?,will-tucker-carlson-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Tucker Carlson wins the 2024 nomination of the Republican Party...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Ben Shapiro win the U.S. 2024 Republican presidential nomination?,will-ben-shapiro-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Ben Shapiro wins the 2024 nomination of the Republican Party fo...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
